Date,daily_return,equity,turnover,regime,gate_active
2016-05-30,0.0,1.0,0.0,RISK-OFF,0
2016-05-31,0.0002380952380952381,1.0002380952380951,0.0,RISK-OFF,0
2016-06-01,0.0002380952380952381,1.0004762471655326,0.0,RISK-OFF,0
2016-06-02,0.0002380952380952381,1.00071445579581,0.0,RISK-OFF,0
2016-06-03,0.0002380952380952381,1.000952721142428,0.0,RISK-OFF,0
2016-06-06,0.0002380952380952381,1.0011910432188904,0.0,RISK-OFF,0
2016-06-07,0.0002380952380952381,1.0014294220387043,0.0,RISK-OFF,0
2016-06-08,0.0002380952380952381,1.0016678576153801,0.0,RISK-OFF,0
2016-06-09,0.0002380952380952381,1.0019063499624312,0.0,RISK-OFF,0
2016-06-10,0.0002380952380952381,1.0021448990933746,0.0,RISK-OFF,0
2016-06-13,0.0002380952380952381,1.00238350502173,0.0,RISK-OFF,0
2016-06-14,0.0002380952380952381,1.0026221677610208,0.0,RISK-OFF,0
2016-06-15,0.0002380952380952381,1.0028608873247733,0.0,RISK-OFF,0
2016-06-16,0.0002380952380952381,1.0030996637265173,0.0,RISK-OFF,0
2016-06-17,0.0002380952380952381,1.0033384969797854,0.0,RISK-OFF,0
2016-06-20,0.0002380952380952381,1.0035773870981137,0.0,RISK-OFF,0
2016-06-21,0.0002380952380952381,1.0038163340950417,0.0,RISK-OFF,0
2016-06-22,0.0002380952380952381,1.0040553379841117,0.0,RISK-OFF,0
2016-06-23,0.0002380952380952381,1.0042943987788697,0.0,RISK-OFF,0
2016-06-24,0.0002380952380952381,1.0045335164928646,0.0,RISK-OFF,0
2016-06-27,0.0002380952380952381,1.0047726911396486,0.0,RISK-OFF,0
2016-06-28,0.0002380952380952381,1.005011922732777,0.0,RISK-OFF,0
2016-06-29,0.0002380952380952381,1.0052512112858085,0.0,RISK-OFF,0
2016-06-30,0.0002380952380952381,1.0054905568123051,0.0,RISK-OFF,0
2016-07-01,0.0002380952380952381,1.0057299593258318,0.0,RISK-OFF,0
